Raw,Mapped
انباردار,انباردار
برقکار bmcars,برق کار
برقکار بهمن دیزل,برق کار
برقکار بهمن موتور,برق کار
برقکار بهمن موتور وانت,برق کار
برقکار سیبا موتور,برق کار
جلوبندی کار بهمن دیزل,جلوبندی کار
جلوبندی کار بهمن موتور,جلوبندی کار
جلوبندی کار سیبا موتور,جلوبندی کار
جلوبندی کاربهمن موتور وانت,جلوبندی کار
مدیر فروش,مدیر مسئول فروش
مدیر فروش bmcars,مدیر مسئول فروش
مدیرنمایندگی,مدیر نمایندگی
مدیرنمایندگی bmcars,مدیر نمایندگی
مدیرنمایندگی خدمات,مدیر نمایندگی
مدیرنمایندگی فروش,مدیر نمایندگی
مسئول ارتباط با مشتری خدمات,مسئول ارتباط با مشتریان
مسئول ارتباط با مشتری خدمات و فروش,مسئول ارتباط با مشتریان
مسئول ارتباط با مشتری فروش,مسئول ارتباط با مشتریان
مسئول تخصیص,پذیرشگر
مکانیک bmcars,مکانیک کار
مکانیک بهمن دیزل,مکانیک کار
مکانیک بهمن موتور,مکانیک کار
مکانیک بهمن موتور وانت,مکانیک کار
مکانیک سرویس سریع سبک,مکانیک کار
مکانیک سرویس سریع سنگین,مکانیک کار
مکانیک سیبا موتور,مکانیک کار
پذیرشگر,پذیرشگر
پذیرشگر bmcars,پذیرشگر
کارشناس pds و تحویل خودرو,مسئول pds و تحویل خودرو
کارشناس pds و تحویل خودروbmcars,مسئول pds و تحویل خودرو
کارشناس فروش و بازاریابی,کارمند فروش
کارشناس فنی bmcars,کارشناس فنی
کارشناس فنی بهمن دیزل,کارشناس فنی
کارشناس فنی بهمن موتور,کارشناس فنی
کارشناس فنی بهمن موتور وانت,کارشناس فنی
کارشناس فنی سیبا موتور,کارشناس فنی
کارشناس پذیرش bmcars,کارشناس پذیرش
کارشناس پذیرش بهمن دیزل,کارشناس پذیرش
کارشناس پذیرش بهمن موتور,کارشناس پذیرش
کارشناس پذیرش بهمن موتور وانت,کارشناس پذیرش
کارشناس پذیرش سیبا موتور,کارشناس پذیرش
کارمند انبار,انباردار
کارمند فروش,کارمند فروش
کارمند فروش bmcars,کارمند فروش
کارگزار,کارگزار
